epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.721,2.83075,3.32436,3.56992,0.18024,0.2552,0.13184,0.04998,2.42524,3.7906,2.9979,0.000554242,0.000554242,0.000554242
2,275.621,2.15191,2.58606,2.71242,0.40645,0.36585,0.32779,0.13793,2.04396,2.41974,2.56833,0.00109892,0.00109892,0.00109892
3,406.3,1.87577,2.21657,2.41664,0.49292,0.46706,0.45398,0.20078,1.9372,2.11581,2.38887,0.0016326,0.0016326,0.0016326
4,537.004,1.74869,2.01834,2.26969,0.61214,0.48322,0.52899,0.2744,1.74847,1.86831,2.2253,0.00161749,0.00161749,0.00161749
5,669.629,1.67043,1.88691,2.16207,0.62546,0.53738,0.56963,0.26547,1.84483,1.74184,2.21431,0.00160099,0.00160099,0.00160099
6,798.079,1.59202,1.77311,2.0836,0.66196,0.57185,0.61173,0.31219,1.70147,1.65627,2.09484,0.00158448,0.00158448,0.00158448
7,926.625,1.54959,1.69092,2.03033,0.67498,0.58014,0.63528,0.30483,1.77008,1.63684,2.13051,0.00156798,0.00156798,0.00156798
8,1054.91,1.49593,1.61457,1.97362,0.68477,0.60227,0.66014,0.3366,1.67458,1.52364,2.04566,0.00155148,0.00155148,0.00155148
9,1184.02,1.47257,1.55653,1.93767,0.70614,0.62138,0.6795,0.35682,1.67346,1.45026,2.00301,0.00153497,0.00153497,0.00153497
10,1311.65,1.43957,1.50129,1.9044,0.72081,0.63055,0.69376,0.39493,1.55244,1.3861,1.89577,0.00151847,0.00151847,0.00151847
11,1439.45,1.40438,1.44907,1.86555,0.73839,0.65474,0.72641,0.42547,1.46022,1.30435,1.8191,0.00150197,0.00150197,0.00150197
12,1568.78,1.4004,1.42182,1.85786,0.71994,0.66618,0.73175,0.41714,1.45274,1.29787,1.8117,0.00148546,0.00148546,0.00148546
13,1697.2,1.36693,1.38081,1.82515,0.7462,0.6773,0.74069,0.43126,1.49666,1.24641,1.83966,0.00146896,0.00146896,0.00146896
