epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.102,3.38167,3.63804,4.11898,0.08912,0.14881,0.03937,0.01086,2.95977,3.61319,3.91893,0.00332476,0.00332476,0.00332476
2,320.371,2.71393,2.96033,3.32766,0.21836,0.2852,0.16124,0.05681,2.36243,3.08902,3.09359,0.00661415,0.00661415,0.00661415
3,468.021,2.0946,2.41279,2.62184,0.36116,0.3836,0.34148,0.15483,1.91304,2.6495,2.52455,0.00985954,0.00985954,0.00985954
4,614.6,1.78707,2.08102,2.2814,0.51699,0.46765,0.46725,0.22587,1.743,2.07105,2.3174,0.009802,0.009802,0.009802
5,754.602,1.62547,1.84192,2.09735,0.61506,0.54701,0.59151,0.31199,1.61132,1.70295,2.15907,0.009736,0.009736,0.009736
6,920.748,1.54084,1.71334,1.98904,0.65987,0.60789,0.64803,0.36269,1.49881,1.59784,1.99491,0.00967,0.00967,0.00967
7,1069.3,1.47999,1.62782,1.92101,0.71034,0.59703,0.66032,0.3884,1.47507,1.52153,1.9629,0.009604,0.009604,0.009604
8,1230.81,1.42177,1.54027,1.85787,0.70922,0.64984,0.70587,0.41364,1.41961,1.39772,1.91058,0.009538,0.009538,0.009538
9,1396.73,1.3965,1.48884,1.82382,0.71286,0.66024,0.70568,0.42712,1.35815,1.35948,1.81462,0.009472,0.009472,0.009472
10,1544.73,1.35824,1.43522,1.77037,0.73755,0.66683,0.72968,0.45305,1.3116,1.28475,1.77136,0.009406,0.009406,0.009406
11,1694.19,1.33278,1.39923,1.74931,0.73642,0.66731,0.73201,0.46353,1.28115,1.26405,1.7413,0.00934,0.00934,0.00934
12,1876.09,1.30958,1.36864,1.72619,0.75922,0.67018,0.76001,0.4806,1.27193,1.20406,1.7183,0.009274,0.009274,0.009274
13,2068.72,1.29133,1.33391,1.7039,0.75204,0.70871,0.77071,0.49801,1.22509,1.13425,1.67116,0.009208,0.009208,0.009208
