epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5429.82,1.04859,0.98111,1.44951,0.8382,0.79359,0.86245,0.62503,0.98164,0.80969,1.40137,0.000990365,0.000990365,0.000990365
43,5559.01,1.04577,0.97923,1.44696,0.84025,0.80184,0.86869,0.63027,0.97964,0.79676,1.39297,0.000973861,0.000973861,0.000973861
44,5688.95,1.02264,0.95356,1.43721,0.84806,0.79668,0.86895,0.63214,0.97265,0.79047,1.38392,0.000957358,0.000957358,0.000957358
45,5816.76,1.02845,0.9402,1.4294,0.85098,0.79157,0.87205,0.63489,0.96374,0.78488,1.37634,0.000940855,0.000940855,0.000940855
46,5946.41,1.02621,0.95534,1.43047,0.8455,0.79081,0.87308,0.63845,0.96051,0.77563,1.37489,0.000924352,0.000924352,0.000924352
47,6076.29,1.01741,0.94086,1.42199,0.84799,0.79505,0.87478,0.64031,0.96174,0.76518,1.3828,0.000907848,0.000907848,0.000907848
48,6205.07,1.02181,0.93544,1.42624,0.85678,0.80524,0.87624,0.64324,0.9513,0.7647,1.36716,0.000891345,0.000891345,0.000891345
49,6332.96,1.01529,0.93177,1.41692,0.84879,0.80966,0.87642,0.64207,0.95174,0.7604,1.36657,0.000874842,0.000874842,0.000874842
50,6463.92,1.00954,0.93135,1.4124,0.85728,0.807,0.8781,0.64394,0.94931,0.75943,1.36523,0.000858338,0.000858338,0.000858338
51,6592.67,1.00331,0.91694,1.40792,0.85317,0.80797,0.87804,0.64648,0.9436,0.74528,1.36192,0.000841835,0.000841835,0.000841835
52,6721.7,1.00388,0.91829,1.41602,0.85154,0.80566,0.87829,0.64719,0.94234,0.753,1.35981,0.000825332,0.000825332,0.000825332
53,6851.44,1.00023,0.91357,1.40591,0.85996,0.80588,0.87988,0.65093,0.94092,0.74443,1.35693,0.000808828,0.000808828,0.000808828
54,6984.97,0.99082,0.8959,1.40307,0.84789,0.81398,0.87996,0.65413,0.92989,0.74482,1.34333,0.000792325,0.000792325,0.000792325
55,7114.24,0.9947,0.90239,1.40307,0.85921,0.80737,0.88075,0.65401,0.93039,0.74062,1.34597,0.000775822,0.000775822,0.000775822
56,7244.13,0.99166,0.90473,1.40115,0.85202,0.81371,0.883,0.6583,0.92618,0.7353,1.34208,0.000759318,0.000759318,0.000759318
57,7374.13,0.98829,0.89007,1.3952,0.85939,0.81237,0.88474,0.65713,0.92702,0.72721,1.34231,0.000742815,0.000742815,0.000742815
58,7502.46,0.97632,0.89305,1.39257,0.86412,0.80854,0.88411,0.66176,0.91934,0.72954,1.33541,0.000726312,0.000726312,0.000726312
59,7630.52,0.97823,0.87949,1.38519,0.85354,0.81783,0.88354,0.65999,0.91666,0.72691,1.33373,0.000709809,0.000709809,0.000709809
60,7758.86,0.96862,0.87609,1.38058,0.86638,0.81209,0.88557,0.66387,0.91266,0.71781,1.33143,0.000693305,0.000693305,0.000693305
61,7887.23,0.96621,0.87536,1.37567,0.8648,0.81185,0.88583,0.66429,0.91237,0.7139,1.33164,0.000676802,0.000676802,0.000676802
62,8016.04,0.97415,0.8721,1.37862,0.85708,0.81491,0.88408,0.66272,0.91401,0.7113,1.3281,0.000660299,0.000660299,0.000660299
63,8144.95,0.96912,0.86713,1.38255,0.8547,0.81666,0.88508,0.66659,0.90903,0.71157,1.33135,0.000643795,0.000643795,0.000643795
64,8275.56,0.9534,0.85987,1.37402,0.85857,0.82004,0.88519,0.6656,0.9088,0.70903,1.3277,0.000627292,0.000627292,0.000627292
65,8403.6,0.94903,0.85223,1.36975,0.86015,0.82072,0.88954,0.66856,0.90694,0.70115,1.32627,0.000610789,0.000610789,0.000610789
66,8532.92,0.95334,0.84931,1.36896,0.86406,0.8166,0.88723,0.66803,0.90823,0.70374,1.32669,0.000594286,0.000594286,0.000594286
67,8661.33,0.94715,0.84562,1.3657,0.85779,0.8202,0.88824,0.67016,0.90539,0.70041,1.31919,0.000577782,0.000577782,0.000577782
68,8789.8,0.94745,0.84342,1.36507,0.86734,0.8172,0.88877,0.67065,0.90382,0.69648,1.32564,0.000561279,0.000561279,0.000561279
69,8918.38,0.94572,0.84439,1.36358,0.85483,0.82389,0.88773,0.67122,0.90045,0.69785,1.318,0.000544776,0.000544776,0.000544776
70,9047.19,0.94872,0.84327,1.36167,0.86148,0.82017,0.88694,0.67263,0.89724,0.694,1.3136,0.000528272,0.000528272,0.000528272
71,9177.6,0.93372,0.82095,1.34813,0.86739,0.81106,0.8893,0.6734,0.89815,0.69155,1.31188,0.000511769,0.000511769,0.000511769
72,9308.76,0.93589,0.83376,1.3559,0.86617,0.8181,0.88831,0.6735,0.89411,0.69289,1.31308,0.000495266,0.000495266,0.000495266
73,9436.58,0.93217,0.83521,1.34903,0.86658,0.82199,0.89281,0.676,0.89216,0.68793,1.31092,0.000478762,0.000478762,0.000478762
74,9564.82,0.92952,0.82186,1.34854,0.86718,0.81638,0.89074,0.6752,0.88954,0.68597,1.3069,0.000462259,0.000462259,0.000462259
75,9693.32,0.9273,0.82345,1.34612,0.87055,0.81553,0.89045,0.67486,0.88663,0.68718,1.30336,0.000445756,0.000445756,0.000445756
76,9821.87,0.93118,0.82847,1.34991,0.86801,0.8215,0.89247,0.67645,0.88663,0.68165,1.30371,0.000429253,0.000429253,0.000429253
77,9953.37,0.92517,0.8115,1.34532,0.87475,0.81652,0.89169,0.67952,0.88063,0.6789,1.29788,0.000412749,0.000412749,0.000412749
78,10082.3,0.92428,0.80935,1.33962,0.87803,0.81326,0.89266,0.67945,0.88348,0.67752,1.29937,0.000396246,0.000396246,0.000396246
79,10214.2,0.91605,0.8042,1.33976,0.88207,0.81288,0.89387,0.68095,0.88468,0.67319,1.29903,0.000379743,0.000379743,0.000379743
80,10342.5,0.91917,0.80539,1.3343,0.8795,0.81909,0.8937,0.68024,0.88452,0.67336,1.30089,0.000363239,0.000363239,0.000363239
81,10472,0.90629,0.80237,1.33227,0.87212,0.81994,0.8938,0.68055,0.88261,0.67563,1.29673,0.000346736,0.000346736,0.000346736
82,10600.2,0.91097,0.80026,1.33451,0.8706,0.82055,0.89391,0.6809,0.87947,0.67314,1.29555,0.000330233,0.000330233,0.000330233
83,10728.4,0.89961,0.78493,1.32492,0.86992,0.82382,0.89374,0.68213,0.87821,0.66946,1.29399,0.000313729,0.000313729,0.000313729
84,10858.6,0.898,0.78905,1.32314,0.86822,0.82987,0.89485,0.68334,0.87847,0.66942,1.29302,0.000297226,0.000297226,0.000297226
85,10989.2,0.89982,0.78741,1.32398,0.87304,0.82029,0.89458,0.68204,0.87912,0.67061,1.2935,0.000280723,0.000280723,0.000280723
86,11117.1,0.90204,0.78953,1.32448,0.86689,0.82767,0.89576,0.6834,0.87848,0.66498,1.29396,0.00026422,0.00026422,0.00026422
87,11248,0.8893,0.7808,1.31955,0.87292,0.82287,0.89558,0.68533,0.87406,0.66407,1.29126,0.000247716,0.000247716,0.000247716
88,11378.8,0.9001,0.77989,1.32102,0.87833,0.81885,0.89511,0.68386,0.87321,0.66335,1.28906,0.000231213,0.000231213,0.000231213
89,11507.3,0.89727,0.78197,1.32286,0.88015,0.81743,0.89492,0.68578,0.87255,0.6638,1.28936,0.00021471,0.00021471,0.00021471
90,11635.5,0.89296,0.77136,1.31394,0.87917,0.81988,0.89576,0.68524,0.87137,0.6612,1.28837,0.000198206,0.000198206,0.000198206
91,11760.4,0.7987,0.63107,1.26335,0.87872,0.82271,0.896,0.68458,0.87355,0.66086,1.29189,0.000181703,0.000181703,0.000181703
92,11881.6,0.79027,0.61475,1.25799,0.88277,0.81611,0.89664,0.6863,0.87042,0.65892,1.29029,0.0001652,0.0001652,0.0001652
93,12003.3,0.78883,0.616,1.25626,0.87643,0.82325,0.89733,0.68724,0.86755,0.65845,1.28811,0.000148696,0.000148696,0.000148696
94,12127.5,0.77827,0.61163,1.24854,0.88055,0.81912,0.89685,0.68749,0.86921,0.65883,1.29012,0.000132193,0.000132193,0.000132193
95,12249.1,0.78076,0.6088,1.25482,0.88202,0.81784,0.89663,0.68697,0.86762,0.65728,1.29034,0.00011569,0.00011569,0.00011569
96,12370.8,0.77332,0.60438,1.2449,0.88434,0.81709,0.89677,0.68848,0.86587,0.65388,1.28985,9.91865e-05,9.91865e-05,9.91865e-05
97,12492.3,0.77467,0.59895,1.24325,0.88223,0.82026,0.89673,0.68786,0.86583,0.65435,1.28925,8.26832e-05,8.26832e-05,8.26832e-05
98,12613.5,0.76644,0.59746,1.2376,0.88612,0.81822,0.89675,0.68751,0.86569,0.65433,1.28855,6.61799e-05,6.61799e-05,6.61799e-05
99,12735.4,0.7617,0.59472,1.23792,0.87641,0.82351,0.89672,0.68814,0.86603,0.6533,1.28879,4.96766e-05,4.96766e-05,4.96766e-05
100,12857.6,0.76835,0.59513,1.23906,0.88107,0.8222,0.89691,0.68837,0.86536,0.65318,1.28807,3.31733e-05,3.31733e-05,3.31733e-05
